"NUMERO","TITULO","AUTOR","TEMA","EDITORIAL","COMENTARIO"
"77","La promesa de un beso","Stephanie Laurens","Romantica","Circulo","2504"
"78","El rescate","Julie Garwood","Romantica","Circulo","2001"
"79","El marques y la gitana","Johanna Lindsey","Romantica","Circulo","2001"
"80","Engaño","Amanda Quick","Romantica","Circulo","1995"
"81","En manos de un extraño","James Grippando","Accion/Misterio","Cieculo","2008"
"82","Emmeline","Judith Rossner","Novela","Lasser Press Mexicana","Me la regala Ani"
"83","Rio de pasiones","Kathleen Woodiwiss","Romantica","Cieculo","1999"
"84","La dama","Catherine Coulter","Romantica","Circulo","2002"
"85","Guia practica de la dieta sana","Circulo de Lectores","Divulgacion","Circulo","2001"
"86","Viaje a la Palestina ocupada","Daniele Sallenave","Testimonio","Circulo","2003"
"87","La princesa dormida","Susan King","Romantica","Circulo","2006. Me la regalan mis padres"
"89","Por amor","Nora Roberts","Romantica","Distribuidora alfa","2006"
"26","El lado oscuro del amor","Jane G. Goldberg","Cuerpo y mente","Circulo","1997"
"90","El jardin del escandalo","Jennifer Blake","Romantica","Distribuidora alfa","2006"
"91","Arrastrado por el mar","Nora Roberts","Romantica","Rotativas Estella","2007"
"92","La bahia azul","Nora Roberts","Romantica","Litografia Roses","2008"
"93","Corazon de hielo","Gaelen Foley","Romantica","Circulo","2007"
"94","Un beso tuyo","Christina Dodd","Romantica","Circulo","2007"
"95","La conversacion","Mercedes Salisaghs","Novela","Zeta Bolsillo","2006"
"96","Antes de que te duermas","Linn Ullmann","Novela","Circulo","2000"
"97","Anima","John Darnton","Novela","Circulo",""
"98","Tus zonas erroneas","Wayne W. Dyer","Cuerpo y mente","Grijalbo Mondadori","1997"
"99","Corazones salvajes","Jayne Ann Krentz","Romantica","Circulo","1996"
"100","Vivir en pareja","Dr. Joan Corbella","Divulgacion","Circulo","1993"
"101","Los hombres son de marte, las mujeres de Venus","John Gray","Divulgacion","De Bolsillo","2004"
"104","La ilustre casa de Ramires","Eça de Queiroz","Novela","Club Internacional del Libro",""
"106","El medico de aldea","Balzac","Novela","Club Internacional del Libro",""
"107","Fausto","Goethe","Teatro","Club Internacional del Libro",""
"108","Articulos de costumbres","Mariano Jose de Larra","Novela","Club Internacional del Libro",""
"110","La divina comedia II","Dante","Novela","Club Internacional del Libro",""
"111","Las peregrinaciones de Childe Harold/ El corsario","Lord Byron","Novela/cantos","Club Internacional del Libro",""
"115","Libro de su vida","Teresa de Jesus","Mistica","Club Internacional del Libro",""
"117","El conde Lucanor","Don Juan Manuel","Novela","Club Internacional del Libro",""
"118","Candido/El ingenuo","Voltaire","Cuentos filosoficos","Club Internacional del Libro",""
"121","Eugenia Grandet","Honore De Balzac","Novela","Club Internacional del Libro",""
"122","Leyendas y Narraciones","Gustavo Adolfo Becquer","Novela","Club Internacional del Libro",""
"124","El gran teatro del mundo/ La dama duende","Pedro Calderon de la Barca","Teatro","Club Internacional del Libro",""
"125","Relatos","Leonidas Andreiev","Relatos","Club Internacional del Libro",""
"126","Taras Bulba/ Otros cuentos","Nikolai Gogol","Cuentos","Club Internacional del Libro",""
"127","Leyendas de la Alhambra","Washington Irving","Cuentos","Club Internacional del Libro",""
"128","La maga de la montaña/ Los desposorios de Triermai","Walter Scott","Novela","Club Internacional del Libro",""
"24","Cartas para Claudia","Jorge Bucay","Cuerpo y mente","Circulo","2008"
"129","El Principe y el Mendigo","Mark Twain","Novela","Club Internacional del Libro","1989 (Paco)"
"130","La Dama de las camelias","Alejandro Dumas","Novela","Club Internacional del Libro",""
"131","Maria Estuardo/ Guillermo Tell","Friedrich Schiller","Teatro","Club Internacional del Libro",""
"132","La fierecilla domada/ Las alegres comadres de Wind","William Shakespeare","Teatro","Club Internacional del Libro",""
"134","Madame Bovary","Gustave Flaubert","Novela","Club Internacional del Libro",""
"136","Entremeses/ Novelas escogidas","Miguel de Cervantes","Novela","Club Internacional del Libro",""
"137","El libro de buen amor","Juan Ruiz Arcipreste de Hita","Poesia","Club Internacional del Libro",""
"138","Cuentos","Leon Tolstoi","Cuentos","Club Internacional del Libro",""
"140","El Decameron II","Giovanni Boccaccio","Relatos","Club Internacional del Libro",""
"141","Almacen de Antigüedades","Charles Dickens","Novela","Club Internacional del Libro",""
"142","Cuentos","Andersen, Grimm y Hoffmann","Cuentos","Club Internacional del Libro",""
"143","La madre","Maximo Gorki","Novela","Club Internacional del Libro",""
"144","La Celestina","Fernando de Rojas","Novela","Club Internacional del Libro",""
"145","Los viajes de Gulliver","Jonathan Swift","Novela","Club Internacional del Libro",""
"146","La Cartuja de Parma I","Stendhal","Novela","Club Internacional del Libro",""
"147","La Cartuja de Parma II","Stendhal","Novela","Club Internacional del Libro",""
"148","Diario de un skin","Antonio Salas","Testimonio","Circulo","2003(Paco)"
"149","La magia de tu ser","Johanna Lindsey","Romantica","Circulo","1996, 2005"
"150","La cruz de San Andres","Camilo Jose Cela","Novela","Circulo","2003(Paco)"
"152","El amante de Lady Chatterley","D.H. Lawrence","Novela","Orbis-Fabbri",""
"153","Paraiso privado","Judith Krantz","Romantica","Circulo",""
"154","Pasarela de odios","livia Goldsmith","Novela","Circulo","1999"
"155","La amante","Amanda Quick","Romantica","Circulo","1998, 2001"
"158","Enamorada","Virginia Henley","Romantica","Circulo","2002"
"159","La fiesta del chivo","Mario Vargas Llosa","Novela","Alfaguara","Regalo de Miguel y Laura. 2003(Paco)"
"160","La cancion de Nadia","Soheir Khashoggi","Novela","Circulo","2000"
"161","El Rey","Jose Luis de Villalonga","Testimonio","Circulo",""
"163","Lo que sueñan los lobos","Yasmina Khadra","Novela","Circulo","2003 (Paco)"
"164","Las mocedades del Cid","Guillen de Castro","Teatro","Biblioteca Sopena",""
"165","Esquema de la vida de la mujer","Jose Botella Llusia","Divulgacion","Selecciones Auustral",""
"167","Leon Bocanegra","Alberto Vazquez-Figueroa","Novela","Plaza & Janes","2002 (Paco),2000"
"168","Yo Claudio","Robert Graves","Novela historica","Alianza Editorial",""
"169","Claudio, el dios","Robert Graves","Novela historica","Alianza Editorial",""
"173","Poemas","Miguel Hernandez","Poesia","Plaza& Janes",""
"176","Triangulo pasional","Rebecca Brandewine","Romantica","Plaza & Janes","1995, 2000"
"177","Nieve en abril","Rosamunde Pilcher","Romantica","Plaza & Janes","1998"
"178","Historia de un idiota contada por él mismo","Felix de Azua","Novela","Circulo",""
"179","Escandalo nocturno","Christina Dodd","Romantica","Circulo","2000"
"183","Amor en el castillo","Christina Dodd","Romantica","Circulo","1999"
"185","El camino","Miguel Delibes","Novela","Esiciones Destino","1991 (Paco)"
"186","Un yanqui en la corte del rey Arturo","Mark Twain","Novela","Esicioes Forum",""
"192","Prometeme el mañana","Candace Camp","Romantica","Arlequin Iberica","2003"
"194","Tierra audaz","Jude Deveraux","Romantica","Javier Vergara Editor","2001"
"197","El circulo magico","Katherine Neville","Novela","Circulo","2000"
"198","La torre oscura/ La hierba del diablo","Stephen King","Terror","Circulo","1990 (Paco)"
"199","La piedra angular","Zoe Oldenbourg","Novela historica","Circulo","1994 (Paco)"
"200","El nombre de la rosa","Umberto Eco","Novela","Narrativa Actual","1994 (Paco)"
"201","It (Eso)","Stephen King","Terror","Circulo","1988 (Paco)"
"202","El cielo raso","Alvaro Pombo","Novela","Circulo","2003 (Paco)"
"203","La tabla de Flandes","Arturo Perez-Reverte","Novela","Circulo","1994 (Paco y yo)"
"206","El libro de oro de los sueños","El mago Felix","Ciencias ocultas","Daniel's Libros",""
"211","El dia de la confesion","Allan Folsom","Suspense","Circulo","2000 (Paco y yo)"
"212","Las puertas de Anubis","Tim Powers","Novela ficcion","Circulo","1990 (Paco)"
"213","Saulo, el incendiario","gerald Messadie","Novela historica","Circulo","1994 (P)"
"214","Causa de muerte","Patricia D. Cornwell","Suspense","Circulo","1998"
"215","Lugar de ejecucion","Val McDermid","Suspense","Circulo","2003-P"
"217","Laberinto","Larry Collins","Novela","Circulo","1991-P"
"22","Corazon audaz","Marsha Canham","Romantica","Circulo","2008"
"218","La hermandad","John Grisham","Novela","Circulo","2000-P"
"219","El pendulo de Foucault","Umberto Eco","Novela","Circulo",""
"220","El quinto evangelio","Philipp Vandenberg","Novela","Circulo","1995-P"
"222","El noble Coran","","Texto","Reino de Arabia Saudita","Regalo"
"223","Memorias de Cristobal Colon","Stephen Marlowe","Novela historica","Circulo","1994-P"
"274","El reino de este mundo","Alejo Carpentier","Novela","Seix Barral",""
"275","El viejo y el mar","Ernest Hemingway","Novela","Seix Barral",""
"276","Un arbol de noche","Truman Capote","Novela","Seix Barral",""
"277","A traves del espejo","Lewis Carroll","Cuento-divulgacion","Alianza Editorial",""
"278","Obstinacion","Hermann Hesse","Novela","Alianza Editorial",""
"281","La Celestina","Fernando de Rojas","Novela","Alianza Editorial",""
"282","Testamento en Praga","Tomas y Teresa Pamies","Novela","Ediciones Orbis",""
"284","El origen del hombre","Darwin","Divulgacion","Biblioteca Edaf de bolsillo",""
"285","La galeria de los espejos","Pierre Daninos","Divulgacion","Planeta",""
"286","Los mitos de Cthulhu","H.P. Lovecraft y otros","Cuento de terror","Alianza Editorial",""
"287","Persuasion","Jane Austen","Romantica","Plaza & Janes","1998"
"289","Tesoros ocultos","Nora Roberts","Romantica","Circulo","Colección, 2003"
"290","Donde empiezan los sueños","Lisa Kleypas","Romantica","Circulo","2003"
"291","La citacion","Jhon Grisham","Novela","Circulo",""
"297","Congo","Michael Crichton","Novela","Circulo","1996-P"
"298","La fuerza de la pasion","Nora Roberts","Romantica","Circulo","2004"
"301","El highlander disfrazado","Julia London","Romantica","Circulo","2008"
"302","Sombra sultana","Assia Djebar","Novela","Circulo","2004"
"303","Serpientes en el paraiso","Alicia Gimenez Bartlett","Accion/ Misterio","Circulo","2004"
"305","Te llamare viernes","Almudena Grandes","Novela","Tusquets","Regalo de Ani en 1991"
"307","La ladrona de libros","Markus Zusak","Novela","Circulo","2008"
"308","El origen de las especies","Darwin","Divulgacion","Edaf de bolsillo",""
"309","El sueño de la maharani","Elisa Vazquez de Gey","Novela biografica","Grijalbo","Regalo de Ani 2005"
"310","Cinco horas con Mario/ Diario de un cazador/ Mi id","Miguel Delibes","Novela","Clasicos contemporaneos","Paco"
"21","La mansion embrujada","Mary Srewart","Romantica","Circulo","1993"
"313","Dracula","Bram Stoker","Novela terror","Circulo","1993-P"
"314","Krabat y el molino del diablo","Otfried Preussler","Suspense","Circulo",""
"315","Recuerdos de la medianoche","Sidney Sheldon","Suspense","Circulo","1991-P"
"316","El enigma de Cambises","Paul Sussman","Suspense","Circulo","2004-P y yo"
"319","La sombra del viento","Carlos Ruiz Zafon","Novela","Circulo","2004-P y yo"
"320","La pasion turca","Antonio Gala","Novela","Planeta","1995-P, 1998"
"321","El hombre que pinto al dragon Griaule","Lucius Shepard","Fantastica","Circulo",""
"323","Sociologia","Salvador Giner","Divulgacion","Circulo",""
"324","El idolo perdido","Douglas Preston / Lincoln Child","Suspense","Circulo","1998-P"
"325","La reina sin nombre","Maria Gudin","Novela historica","Bolsillo Zeta","2009"
"326","Sangre romana","Steven Saylor","Novela","Circulo","1998"
"327","La casa del asesino rojo","Paul Harding","Novela","Circulo","1997, 2000-P"
"328","Los crimenes de la rosa blanca","Michael Clynes","Novela","Circulo","2000-P"
"329","El highlander apasionado","Julia London","Romantica","Circulo","2008"
"330","El highlander enamorado","Julia London","Romantica","Circulo","2008"
"331","El egiptologo","Arthur Phillips","Novela","Circulo","2007"
"334","Fetish","Tara Moss","Accion/ Misterio","Circulo","2009"
"335","Dejame que te cuente","Jorge Bucay","Mente/ Cuerpo","Circulo","2003"
"383","El hombre terminal","Michael Crichton","Novela ficcion","Ediciones B","2002-P"
"384","Los cipreses creen en Dios I","Jose Maria Gironella","Novela","Planeta","Leido"
"386","La gangrena","Mercedes Salisachs","Novela","Planeta",""
"387","Ficciones","Jose Luis Borges","Novela","Planeta-Agostini",""
"390","La torre de los vicios capitales","Terence Moix","Novela","Literatura Contemporanea de Seix Barral",""
"391","El paraiso en la otra esquina","Mario Vargas Llosa","Novela","Circulo","2004-P"
"392","La novia de la bestia","Sue-Ellen Welfonder","Romantica","Circulo","2007"
"393","Valle de sombras","Nora Roberta","Romantica","Circulo","2004"
"394","El conde de Montecristo (I y II)","Alejandro Dumas","Novela","BeBolsillo","2003-P"
"395","Rojo y Negro","Stendhal","Novela","Bruguera",""
"396","Nuestro hombre en la Habana","Graham Greene","Novela","Alianza Editorial","Regalo en el 86 a Paco"
"397","Charlas con Troylo","Antonio Gala","Novela","Selecciones Austral","Regalo de Pili (85)"
"398","Narraciones inverosimiles","Pedro Antonio de Alarcon","Novela","Bruguera",""
"399","Los pazos de Ulloa","Emilia Pardo Bazan","Novela","Bruguera",""
"400","Honor de medianoche","Marsha Canham","Romantica","Circulo","2008"
"20","Solas","Carmen Alborch","Testimonio","Temas de hoy","1999"
"402","Los aereos","Luis Magrinya","Relato psicologico","Circulo",""
"403","El manuscrito carmesi","Antonio Gala","Novela","Planeta DeAgostin","2004-P. Premio Planeta 1990"
"404","El evangelio según Jesucristo","Jose Saramago","Novela","Alfaguara","2003-P"
"405","Guerreros de Dios","James Reston, Jr","Novela historica","Circulo","2003-P"
"406","El ingenioso hidalgo Don Quijote de la Mancha","Miguel de Cervantes","Novela","Biblioteca V Centenario",""
"407","Middlesex","Jeffrey Eugenides","Novela","Anagrama","2003-P. Pulitzer"
"408","Amor y ambicion","Virginia Henley","Romantica","Circulo","2005"
"410","El club Dante","Matthew Pearl","Accion/ Misterio","Circulo","2005-P y yo"
"412","Flores en la tormenta","Laura Kinsale","Romantica","Circulo","2006"
"413","Pintado en el viento","Cathy Cash Spellman","Novela","Circulo","1994"
"414","Queenie","Michael Korda","Romantica","Circulo","Leida"
"415","Los diez mandamientos en el siglo XXI","Fernando Savater","Etica","Circulo","2005"
"417","Un calor tan cercano","Maruja Torres","Novela","Circulo","1997"
"418","Cita de amor","Amanda Quick","Romantica","Circulo","1996"
"419","Los cien sentidos secretos","Amy Lan","Novela","Circulo","1996"
"420","El valle de las lagrimas","Sonia Marmen","Romantica","Circulo","2009"
"421","Ruby","V.C. Andrews","Novela","Plaza & Janes","1996"
"422","La loca de la casa/ La razon de la sinrazon","Benito Perez Galdos","Teatro","Ediciones Rueda",""
"425","Tierna fue la tormenta","Johanna Lindsey","Romantica","RBA","2003"
"428","La barraca","Vicente Blasco Ibañez","Novela","Circulo",""
"430","Cerdos con alas","Rocco y Antonia","Novela","Circulo","Leida"
"431","Mazurca para dos muertos","Camilo Jose Cela","Novela","Seix Barral","1992-P"
"432","Los hijos del Capitan Grant","Julio Verne","Novela","Circulo","Leido"
"433","La colmena","Camilo Jose Cela","Novela","Bruguera","1991-P"
"434","Mañana en la batalla piensa en mi","Javier Marias","Novela","Circulo",""
"436","Pequeñas infamias","Carmen Posadas","Novela","Circulo","2003"
"438","Dulces mentiras","Jude Deveraux","Romantica","Circulo","1996"
"439","Confieso que he vivido","Pablo Neruda","Memorias","Circulo","Leido"
"441","El arbol en llamas","Phillis A. Whitney","Novela","Circulo",""
"442","Delirio y destino","Maria Zambrano","Testimonio","Circulo",""
"443","Vidas cruzadas","Danielle Steel","Romantica","RBA","1994"
"444","Madrid, costa Fleming","Angel Palomino","Novela","Circulo",""
"445","Miedo al silencio","Dr. Joan Corbella Roig","Mente/ cuerpo","Circulo",""
"446","Interludios eroicos","Lonnie Barbach","Relatos","Circulo","1994"
"447","Lo raro es vivir","Carmen Martin Gaite","Novela","Circulo","1999"
"448","Manual de las buenas maneras","Angel Amable","Etica","Circulo","1992"
"34","El planeta de los simios","Pierre Boulle","Ficcion","Biblioteca de Ciencia Ficcion",""
"449","La familia de Pascual Duarte","Camilo Jose Cela","Novela","Seix Barral",""
"450","Diabolica","Jo Beverley","Romantica","Circulo","2002"
"452","Esto ya existio en la antigüedad","Peter Coll","Divulgacion","Biblioteca de Historia",""
"453","Barrio de maravillas","Rosa Chacel","Novela","Circulo","1998"
"454","Al otro lado del espejo","Karleen Koen","Romantica","Circulo","1997"
"455","Claro de luna","Nora Roberts","Romantica","Circulo","2002"
"456","Mujercisimas","Terence Moix","Novela","booket",""
"457","El hermano bastardo de Dios","Jose Luis Coll","Novela","Circulo","1988-P"
"458","Nocturno hindu","Antonio Tabucchi","Novela","Circulo","1988-P"
"459","Algo para leer","Jose Luis Coll","Sentencias humor","Circulo",""
"460","Relatos de mujeres","Isaac Asimov/ Truman Capote/…","Relatos","Plaza & Janes","1999"
"461","Esau","Philip Kerr","Novela","Circulo","1999"
"462","El goce de amar","Dr. Alex Comfort","Divulgacion","Circulo",""
"463","El arte del amor sensual","Dr. Andrew Stanway","Divulgacion","Circulo",""
"464","Historia del tiempo","Stephen W. Hawking","Divulgacion","Circulo",""
"465","El club de las primeras esposas","Olivia Goldsmith","Novela","Circulo","1997"
"466","El secreto","Donna Tartt","Novela","Circulo","1997"
"467","La ciudad de los prodigios","Eduardo Mendoza","Novela","RBA","Regalo de Ana y Luis Miguel"
"468","La rosa de Alejandria","Manuel Vazquez Montalban","Novela","Circulo",""
"469","El manifiesto negro","Frederick","Forsyth","DeBolsillo","2003-P"
"470","Una muerte tan dulce","Liz Rigbey","Accion / Misterio","Circulo","2003"
"471","El hechizo del halcon","Patricia Ryan","Novela romantica","Circulo","2002"
"473","Chocolate","Joanne Harris","Novela","Circulo","2003"
"477","El camino del amor","Johanna Lindsey","Romantica","Plaza & Janes","1998"
"478","Jane Eyre","G. Brontë","Novela","Orbis-Fabri","Leida"
"479","Rindete amor mio","Johanna Lindsey","Romantica","Circulo","Leida"
"480","Mientras duerme la pasion","Shirlee Busbee","Romantica","Circulo","1996"
"481","Cuando tu llegaste","Judith McNaught","Romantica","Circulo","2000"
"483","Helena, Helena, amor mio","Luciano de Crescendo","Novela","Circulo","1994-P"
"484","Piratas","Alberto Vazquez-Figueroa","Aventura","Circulo","1998-P y yo"
"485","Tension","Dean R. Koontz","Accion / Terror","Circulo","1997, ?"
"486","Angel de plata","Johanna Lindsey","Romantica","Circulo","Leida"
"487","El Santuario","Nora Roberts","Romantica / Accion","Circulo","1999"
"488","Hijos felices","Varios","Divulgacion","Circulo","Leida?"
"490","Atrapada en el tiempo","Diana Gabaldon","Romantica","Circulo","1998"
"492","La huella","Patricia Cornwell","Accion / Misterio","Circulo","2005"
"494","El regreso","Rosamunde Pilcher","Romantica","Circulo","1996"
"35","Metropolis","Thea von Harbou","Ficcion","Biblioteca de Ciencia Ficcion",""
"495","Espuelas de papel","Olga Merino","Novela","Circulo","2005"
"496","El origen perdido","Matilde Asensi","Novela","Circulo","2004-P, 2005"
"497","Seductora inocente","Gaelen Foley","Romantica","Circulo","2005"
"498","La indomable Sophia","Georgette Heyer","Romantica","Circulo","2009"
"499","Los guardianes del libro","Geraldine Brooks","Novela","Circulo","2009"
"500","El angel rojo","Franck Trilliez","Novela","Circulo","2008. Violenta"
"501","Algun amor que no mate","Dulce Chacon","Novela","Circulo","2005. Mención de Honor Hombres contra la Viol.Gene"
"503","Ciento y un días","Asne Seierstad","Testomonio colección","Circulo","2005."
"504","Conquista audaz","Virginia Henley","Romantica","Circulo","2005"
"505","Silencio sepulcral","Arnaldur Indridason","Accion / Misterio","Circulo","2008"
"506","Andaluz","Antonio Gala","Articulos periodísticos","Circulo","Tributo a Andalucia"
"508","Doce cuentos peregrinos","Gabriel Garcia Marquez","Cuentos","Altaya",""
"509","Beatus Ille","Antonio Muñoz Molina","Novela","RBA","Premio Icaro"
"511","Los heraldos de las sombras","Cathy Cash Spellmam","Novela / terror","Circulo",""
"512","Postumo el transmigrado","Alejandro Tapia y Rivera","Novela satirica y etica","Circulo",""
"513","El dardo en la palabra","Fernando Lazaro Carreter","Divulgacion","Circulo","Leido en parte"
"514","El club Dumas","Arturo Perez-Reverte","Novela","Circulo","1995, 2003-P"
"515","Monte Miseria","Samuel Shem","Novela","Circulo","2002, 2003-P"
"516","La caverna de las ideas","Jose Carlos Somoza","Novela","Circulo","2002, 2003-P"
"518","Ex libris","Ross King","Novela","Circulo","2003-P y yo"
"519","Exterminio","Jonathan Kellerman","Accion / Misterio","Circulo","2003-P"
"520","Baudolino","Umberto Eco","Novela","Circulo","2003-P"
"521","El cazador de sueños","Stephen King","Novela terror","Circulo","2003-P"
"522","El baston runico","Michael Moorcock","Fantasia epica","Circulo","-P"
"523","La lista de los siete","Mark Frost","Accion / Misterio","Circulo","1998-P"
"524","El diccionario de Lempriere","Lawrence Norfolk","Novela","Circulo","-P"
"525","El druida","Morgan Llywelyn","Novela historica","Circulo","2004-P"
"526","Quo vadis?","Henryk Sienkiewicz","Novela","Circulo",""
"527","Robinson Crusoe","Daniel Defoe","Aventura","Circulo",""
"528","El ultimo mohicano","James Fenimore Cooper","Novela","Circulo",""
"529","Las minas del rey Salomon","Henry Rider Haggard","Novela","Circulo",""
"530","El libro de la selva","Rudyard Kipling","Novela","Circulo",""
"531","La cabaña del Tio Tom","Harriet Beecher Stowe","Novela","Circulo","2003-P"
"532","Los tres mosqueteros","Alexandre Dumas","Novela","Circulo","2003-P"
"533","Ivanhoe","Walter Scott","Novela","Circulo","1994-P"
"534","La isla del tesoro","Robert Louis Stevenson","Novela","Circulo","1995-P"
"535","El corsario negro","Emilio Salgari","Novela","Circulo","1995-P"
"536","Colmillo blanco","Jack London","Novela","Circulo","1996-P"
"537","El rescate","Julie Garwood","Romantica","byblos","2005"
"37","2001 Una odisea espacial","Arthur C. Clarke","Ficcion","Biblioteca de Ciencia Ficcion",""
"539","Un pasado sombrio","Amanda Quick","Romantica","byblos","2005"
"540","Voces del corazon","Barbara Taylor Bradford","Romantica","Plaza & Janes","Leida"
"541","Rendicion","Amanda Quick","Romantica","byblos","2006"
"542","La imprudente","Amanda Quick","Romantica","Ediciones B Argentina","2004"
"543","El señor de los lobos","Heather Graham","Romantica","Plaza & Janes","2003"
"544","Escandalo","Amanda Quick","Romantica","Javier Vergara Editor","2004"
"545","La impostora","Jane Feather","Romantica","byblos",""
"546","La buena suerte","Fernando Trias de Bes / Alex Rovira Celma","Relatos","Empresa Activa","Regalo de Miguel Angel a Paquillo en 2004"
"547","La biblioteca del cartografo","Jon Fasman","Novela","Circulo","2006"
"549","Una flecha al corazon","Jennifer Blake","Romantica","Circulo","1997"
"550","Una dama a sueldo","Amanda Quick","Romantica","bolsillo Zeta","2006"
"553","El obsceno pajaro de la noche","Jose Donoso","Novela","Libros DB",""
"554","Pena de muerte","Sister Helen Prejean","Narrativa","Circulo",""
"555","Tiempo de conquistadores","Alberto Vazquez-Figueroa","Novela","DeBolsillo","Regalo de Ani a Miguel en 2004"
"556","Seda y acero","Kat Martin","Romantica","byblos","2005"
"557","El Romancero","Anonimo","Poesia","biblioteca de aula",""
"558","Territorio comanche","Arturo Perez-Reverte","Novela","BeBolsillo",""
"559","Crimen de autor","Gregg Hurwitz","Accion / Misterio","Circulo","2008"
"560","Un solo verano","Karen Robards","Romantica","Circulo","1996"
"562","Hija de la fortuna","Isabel Allende","Novela","DeBolsillo",""
"563","Asuntos privados","Judith Michael","Romantica","Circulo","Leida"
"564","Una boda imprevista","Jacquie D'Alessandro","Romantica","Circulo","2005"
"565","A traves del fuego","Nicholas Evans","Romantica","Circulo","2005"
"566","Paraiso imperfecto","Christina Skye","Novela romantica","Circulo","2004"
"567","La isla del paraiso","Victoria Holt","Romantica","Circulo","1996"
"568","La aventura del tocador de señoras","Eduardo Mendoza","Novela","Circulo","2003-P, leida"
"569","Pompeya","Varios","Novela historica","martinez roca",""
"570","Los miserables","Victor Hugo","Novela","Grandes Clasicos",""
"571","Cronica sentimental en rojo","Francisco Gonzalez Ledesma","Novela","Circulo","1998"
"572","El ultimo dragon","Byron Preiss / Michael Reaves","Fantasia","Circulo",""
"573","Las aventuras de Huckleberry Finn","Mark Twain","Novela","Circulo",""
"574","Moby Dick","Herman Melville","Novela","Circulo",""
"576","Anibal","Gisbert Haefs","Novela historica","Circulo",""
"578","El sexo de los angeles","Terence Moix","Novela","RBA",""
"579","Los vagabundos","Jack London","Novela","Club Internacional del libro",""
"580","El faraon negro","Christian Jacq","Novela","Circulo","Leida a medias"
"583","El gallego y su cuadrilla / Otros","Camilo Jose Cela","Novela","Ediciones Destino",""
"40","Ubik","Philip K. Dick","Ficcion","Biblioteca de Ciencia Ficcion",""
"584","Cartago. Enemigos de Roma","Varios","Novelas varias","martinez roca",""
"585","Fortunata y Jacinta","Benito Perez Galdos","Novela","Grandes Clasicos",""
"586","Mi ventana al mundo","Francisco Ayala","Antologia","Junta de Andalucio",""
"587","El Dorado","Francisco Vazquez","Cronica de expedicion","Alianza Editorial",""
"590","El lugar sin limites","Jose Donoso","Novela","Bruguera",""
"591","Casas muertas","Miguel Otero Silva","Novela","Bruguera",""
"593","Los habitos de la gente altamente efectiva","Stephen R. Covey","Mente y cuerpo","Paidos Plural","Leida"
"594","Historia inaudita de España","Pedro Voltes","Narracion historica","Circulo",""
"596","Viaje a la Alcarria y otros","Camilo Jose Cela","Novela","Ediciones Destino","1994-P"
"597","La cruz de Santiago","Eduardo Chamorro","Novela","PlanetA","Finalista Premio Planeta 1992"
"598","Donde mueren las olas","Minette Walters","Accion / Misterio","Plaza & Janes",""
"600","Actos de amor y de placer","Lucia Etxebarria","Poesia","mar Astarte",""
"601","Villa Diamante","Boris Izaguirre","Novela","booket","2009. Regalo Ana y Luis Miguel 2008."
"602","Cuentos para un siglo","Varios","Cuentos","Circulo","100 años de Premio Nobel"
"603","Malena es un nombre de tango","Almudena Grandes","Novela","Circulo",""
"605","La globalizacion liberal","Susan George / Martin Wolf","Divulgacion","Circulo",""
"607","Cuentos para despues de hacer el amor","Jose Carlos Carmona","Cuentos","signatura ediciones",""
"608","El psicologo en casa","Bernabe Tierno","Mente / Cuerpo","booket",""
"609","La dieta inteligente","Dra. Pilar Riobo Servan","Divulgacion","Rigorma",""
"610","El islam explicado a nuestros hijos","Tahar Ben Jelloun","Divulgacion","Circulo","2003"
"611","De que hablamos cuando hablamos de amor","Raymond Carver","Divulgacion","Anagrama",""
"612","La vuelta al mundo en 80 dias","Jules Verne","Aventura","Anaya",""
"613","Mortal y rosa","Francisco Umbral","Novela","Circulo",""
"614","Vivir para contarla","Gabriel Garcia Marquez","Novela","Mondadori","Regalo de Maria y Miguel Angel"
"615","La enfermera de Brunete","Manuel Maristany","Novela","Circulo",""
"616","La judia mas hermosa","Fernando Garcia Calderon","Novela historica","algaida historica","Medio leida. Regalo de Ani"
"618","La abadia de los acrobatas","Joanne Harris","Novela","Circulo",""
"619","Pequeños cuentos misoginos","Patricia Highsminth","Cuentos","Anagrama",""
"620","Llanto prohibido","Nura Abdi","Testimonio","Circulo",""
"621","Con fines matrimoniales","Kavita Daswini","Testimonio","Circulo",""
"622","Huye antes del amanecer","Maryan Ansary","Testimonio","Circulo",""
"624","Soria Moria","Espido Freire","Novela","algaida","Regalo Ana y Luis Miguel en 2007"
"625","La mujer del viajero en el tiempo","Audrey Niffenegger","Novela","Grijalbo","Regalo Ana y Luis Miguel en 2005"
"626","Razon, sentimiento y utopia","Carmen Iglesias","Ensayo","Circulo",""
"51","La paja en el ojo de Dios I","Larry Niven","Ficcion","Biblioteca de Ciencia Ficcion",""
"628","La isla del dia de antes","Umberto Eco","Novela","Biblioteca viajera de ABC",""
"629","Estaciones de paso","Almudena Grandes","Novela","Colección andanzas",""
"630","Cronica de una muerte anunciada","Gabriel Garcia Marquez","Novela","DeBolsillo",""
"631","El amor y los angeles","Rafael Alberti","Poesia","Junta de Andalucia",""
"632","Querida, los Gomez vienen a cenar dentro de una ho","Martina Jolly","Cocina","Circulo",""
"633","La ciudad del horizonte","Anton Gill","Novela","Circulo","Detectives en la historia"
