"NUMERO","TITULO","AUTOR","TEMA","EDITORIAL","COMENTARIO"
"15","El opalo negro","Victoria Holt","Romantica","Ed. Planeta DeAgostini","Leida, mama"
"318","Una dulce enemistad","Johanna Lindsey","Romantica","RBA","2005"
"216","Nivel 5","Douglas Preston / Lincoln Child","Novela ficcion","Circulo","1998-P"
"409","Corazon de fuego","Gaelen Foley","Romantica","Circulo","2006"
"411","Los pilares de la Tierra","Ken Follett","Novela","Circulo","2002-P y yo"
"360","El sabor del escandalo","Sandra Browwn","Romantica","Circulo","Leida"
"311","La buena tierra/ Viento del este…/ La estirpe del","Pearl S. Buck","Novela","Biblioteca siglo XX","Leida"
"312","Teoria de los sentimientos","Carlos Castilla del Oino","Divulgacion","Circulo","Leida"
"296","Clones","Michael Marshall Smith","Novela/ ficcion","Circulo","2000-P"
"304","El arte de la felicidad","Dalai Lama","Cuerpo/ Mente","Circulo","Leida"
"299","El demonio de Escocia","Sue-Ellen Welfonder","Romantica","Circulo","Leida"
"300","Tokio blues","Haruki Murakami","Novela","Circulo","Leida"
"288","Como enseñar a tus hijos a ser responsables","Clemens/ Bean","Divulgacion","Circulo","Leida"
"279","David Copperfield I","Carlos Dickens","Novela","Ed. Ramon Sopena","Leida"
"280","David Copperfield II","Carlos Dickens","Novela","Ed. Ramon Sopena","Leida"
"268","Alguien volo sobre el nido del cuco","Ken Kesey","Novela","Argos Vergara","Leida"
"263","Extraños en un tren","Patricia Highsmith","Novela","Seix Barral","Leida"
"258","Un mundo feliz","Aldous Huxley","Ficcion","Plaza & Janes","Leida"
"243","Bella del señor","Albert Cohen","Romantica","Circulo","Leida"
"238","Nido de serpientes","Victoria Holt","Romantica","Circulo","Leida"
"210","El legado de los Drayton","Rona Randall","Romantica","Circulo","Leida"
"207","El hombre fatal","Irene Frain","Novela","Regalo de mama","Leida"
"208","Requiem a cinco voces","Jose Luis Martin Vigil","Novela","Richard Grandio Editor","Leida"
"209","La otra heredera","Janet Dailey","Romantica","Circulo","Leida"
"193","Cita de amor","Amanda Quick","Romantica","","Leida"
"191","La imprudente","Amanda Quick","Romantica","","Leida. Mama 2011"
"184","El clan de los sicilianos","Auguste La Breton","Novela","Planeta",""
"175","Hospital de sangre","Frank G. Slaughter","Novela","Editorial Planeta","Leida"
"174","Los laberintos de la mujer","Dr. J.M. Llorente Burgueño","Divulgacion","Temas de hoy","Leida"
"172","Hospital General del este","Frank G. Slaughter","Novela","Editorial Planeta","Leida"
"171","La isla del doctor Moreau","H.G. Wells","Novela","Bruguera","Leida"
"151","Afrodita","Isabel Allende","Cuentos","Circulo","Leida"
"133","El Tartufo/ El enfermo imaginario","Moliere","Teatro","Club Internacional del Libro","Leida"
"112","El asno de oro","Lucio Apuleyo","Novela","Club Internacional del Libro","Leida"
"105","Aventuras de Sherlock Holmes","Conan Doyle","Novela","Club Internacional del Libro","Leida"
"103","El retrato de Dorian Gray","Oscar Wilde","Novela","Club Internacional del Libro","Leida"
"43","Un mundo feliz","Aldous Huxley","Ficcion","Biblioteca de Ciencia Ficcion","Leida"
"27","Cruel y extraño","Patricia D. Cornwell","Accion/Misterio","Circulo","Leida"
"14","Nadie deberia morir","Frank Slaughter","Novela","Circulo","Leida"
"204","La vision","Dean R. Koontz","Suspense","Circulo","mama"
"17","Sucedió en otoño","Lisa Kleypas","Romantica","Circulo","Leida"
"18","El hombre de mis sueños","Johanna Lindsey","Romantica","Circulo","Leida"
"19","Amar sin sufrir","Mª Jesus Alava Reyes","Cuerpo y mente","Circulo","Leida"
"12","Diagnostico Final","Arthur Hailey","Novela","Ediciones G.P.","Leida"
"10","Fascinacion","Amanda Quick","Romantica","Ediciones B Argentina","Leida"
"1","Carrie","Stephen King","Terror","Pomaire","Leida"
"3","Amor prohibido","Laura Lee Guhrke","Romantica","Grupo Planeta","Leida"
"4","El señor de Far Island","Victoria Holt","Romantica","Salvat","Leida"
"5","Orgullo de casta","Marsha Canham","Romantica","Circulo","Leida"
"6","La mascara de la hechicera","Victoria Holt","Romantica","Salvat","Leida"
"7","Vida y amores de una diablesa","Fay Weldon","Novela","Salvat","Leida"
"8","La calavera bajo la piel","P.D.James","Accion/Misterio","Salvat","Leida"
"9","Mutacion","Robin Cook","Ficcion","Plaza & Janes","Leida"
"362","En busca del Leon Verde","Judith Merkle Riley","Romantica","Circulo","2000"
"266","Rabos de lagartija","Juan Marse","Novela","DeBolsillo","Leido"
"416","Juliano, el Apostata","Gore Vidal","Novela historica","Circulo","1994-P"
"262","El hombre que era jueves","G.K. Chesterton","Accion","Alianza Editorial",""
"369","Triple","Ken Follett","VENDIDO","",""
"423","La incognita","Benito Perez Galdos","Novela","Ediciones Rueda",""
"388","La guerra del fin del mundo","Mario Vargas Llosa","Novela","Literatura Contemporanea Seix Barral",""
"389","La segunda muerte de Ramon Mercader","Jorge Semprun","Novela","Literatura Contemporanea Seix Barral",""
"247","Todo empezo aquel verano","Adriana Trigiani","Romantica","Circulo","?"
"474","Un hombre apasionado","Joanna Trollope","Novela","Circulo","1999"
"424","Casandra","Benito Perez Galdos","Novela","Ediciones Rueda",""
"426","Algo mas que el deseo","Johanna Lindsey","Romantica","RBA","2003"
"491","Fascinacion","Amanda Quick","Romantica","Circulo","2005"
"429","Cirujano del aire","Frank G. Slaughter","Novela","Circulo","Leida"
"427","Amar una sola vez","Johanna Linsey","Romantica","RBA","2003"
"435","Caballeros de fortuna","Luis Landero","Novela","Circulo","No acabada"
"440","Rebeca","Daphne du Maurier","Novela","Circulo","Leido"
"493","Cautivos de amor","Virginia Henley","Romantica","Circulo","2005"
"270","Memorias de Leticia Valle","Rosa Chacel","Novela","Seix Barral",""
"205","Libro de buen amor","Arcipreste de Hita","Poesia","Editorial Castalia",""
"482","Parque Jurasico","Michael Crichton","Ficcion","Circulo","1993-P"
"502","A la sombra de Lilith","Carmen Posadas / Sophie Courgeon","Novela","Circulo","2005. Papel de la mujer en la historia"
"489","Perfume de paraiso","Jennifer Blake","Romantica","Circulo","Leida?"
"604","La Casa de los Encuentros","Martin Amis","Novela","Circulo",""
"538","El heredero","Johanna Lindsey","Romantica"," byblos","2004"
"548","Revancha de amor","Virginia Henley","Romantica","Circulo","2006"
"575","Lucky Starr, el ranger del espacio","Isaac Asimov","Fantasia","Circulo","1998"
"476","Dias de odio, dias de amor","Christine Taylor","Romantica","Circulo","Leida"
"352","Muerta entre los vivos","Freidoune Sahebjam","Testimonio colección","Circulo","2006"
"437","Lagrimas de arena","Patricia Cazon","Testimonio colección","Circulo colección","2005"
"240","La noche del zorro","Jack Higgins","Suspense","Circulo","1991-P"
"345","El diario de Ma Yan","Pierre Haski","Testimonio colección","Circulo","2007"
"517","Hambre sagrada","Barry Unsworth","Novela","Circulo","2003.P"
"577","Capitan de navio","Patrick O'Brian","Novela","Circulo","1998"
"582","La estatua de bronce","Lindsey Davis","Accion","Circulo","1999 +"
"551","Rayuela","Julio Cortazar","Relatos","Planeta-Agostini",""
"552","La casa verde","Mario Vargas llosa","Novela","Libros DB","Premio Romulo Gallegos 1967"
"606","La lapida templaria","Nicholas Wilcox","Accion","booket","2004-P"
"627","La primera traza de la ciudad de Mexico I y II","Lucia Mier y Teran Rocha","Divulgacion","Universidad autonoma metropolitana","Regalo de Lucia"
"623","Cuando comer es un infierno","Espido Freire","Testimonio","Circulo",""
"588","La hojarasca","Gabriel Garcia Marquez","Novela","Ediciones Alfaguara",""
"589","Bestiario","Julio Cortazar","Novela","Ediciones Alfaguara",""
"635","La palabra escrita","Mercedes Salisachs","Novela","memorama",""
"592","La ciudad y los perros","Mario Vargas llosa","Novela","Planeta-Agostini",""
"595","Por que leer los clasicos","Italo Calvino","Ensayo","Circulo",""
"507","Asesino a su pesar","Alexandra Marinina","Accion / Misterio","Circulo","2010"
"599","Corsarios de Levante","Arturo Perez-Reverte","Novela aventura","Alfaguara",""
"636","Point Blanc","Anthony Horquitz","Juvenil","Circulo",""
"617","Una novela de barrio","Francisco Gonzalez Ledesma","Accion","Circulo","2009"
"641","El pequeño dictador","Javier Urra","Divulgacion","Circulo","2008"
"642","El icono sagrado","Neil Olson","Accion / Misterio","Circulo",""
"643","Assassini","Thomas Gifford","Accion / Misterio","Circulo",""
"645","El ultimo caton","Matilde Asensi","Novela","DeBolsillo",""
"510","El peso de la culpa","Elizabeth George","Accion / Misterio","Circulo","2009"
"187","Reencontrarel amor","Barbara Taylor Bradford","Romantica","Planeta","2003"
"306","El highlander oscuro","Karen Marie Moning","Romantica","Circulo","2006, a Raque"
"332","La amante cautiva","Shirlee Busbee","Romantica","Circulo","1995, a Raque"
"475","La boda","Julie Garwood","Romantica","Circulo","1999, a Raque"
"561","Dos niñas vestidas de azul","Mary Higgins Clark","Accion / Misterio","Circulo","2009"
"195","Una dulce enemistad","Johanna Lindsey","Romantica","Javier Vergara Editor","2000"
"659","El tiempo escondido","Joaquin M. Barrero","Novela","Ediciones B","2009. De mama"
"581","Don Quijote de la Mancha I y II","Miguel de Cervantes","Novela aventuras","RBA",""
"88","Amarse con los ojos abiertos","Jorge Bucay / Silvia Salinas","Cuerpo y mente","Circulo","2006"
"227","Misery","Stephen King","Suspense","Circulo","1990-P, y yo"
"678","Solteros tóxicos","Danielle Steel","Romantica","Circulo","2009"
"16","El bosque","Harlan Coben","Accion/Misterio","Circulo","Mama"
"249","El dragon rojo","Thomas Harris","Suspense","Circulo","1993, mama"
"292","El alienista","Caleb Carr","Accion/ Misterio","Circulo","1996-P, mama"
"228","Rescate en el tiempo","Michael Crichton","Novela","Circulo","2000-P, mama"
"239","Testigo","Sandra Brown","Accion/Misterio","Circulo","1999, 2009, mama"
"293","Una cierta justicia","P.D. James","Accion/ Misterio","Circulo","1998, 2000-P, mama"
"294","Torpejusticia","Lisa Scottoline","Accion/ Misterio","Circulo","2000-P, mama"
"295","Falsa identidad","Lisa Scottoline","Accion/ Misterio","Circulo","2003-P, ?, mama"
"692","El desconocido","Carmen Kurtz","Novela","Planeta","Premio Planeta 1956"
"256","Armonia rota","Barbara Wood","Novela","Circulo","1998"
"257","Los origenes del izquierdismo","Richard Gombin","VENDIDO","",""
"264","La fuerza del amor","Bernabe Tierno","VENDIDO","","2003"
"260","Napoleon","Andre Maurois","VENDIDO","",""
"166","El amante diabolico","Victoria Holt","Romantica","grijalbo mondadori","2011"
"333","La quimica de la muerte","Simon Beckett","Accion/ Misterio","Circulo","2009. se continua en "Entre las cenizas""
"180","El septimo papiro","Wilbur Smith","Novela","Circulo","1997"
"702","Para siempre","Nora Roberts","Romantica","Circulo","2012"
"699","Album de boda","Nora Roberts","Romantica","Circulo","2011. Mama 2011"
